source,chain,broker,sum_price,listing_count,commission_base,commission_avg
Hjem.no,PrivatMegleren Fredrikstad,Kathrine Skolt,69640000.0,13,870500.0,66961.53846153847
Hjem.no,EIE Bærum,Andreas Bock,69590000.0,11,869875.0,79079.54545454546
Hjem.no,Proaktiv Trondheim Øst,Steinar Skaanes,69460000.0,9,868250.0,96472.22222222222
DNB,DNB Eiendom,Kristin Strømme,69424912.0,5,867811.4,173562.28
Hjem.no,PrivatMegleren Nyeboliger Bergen,Magnus Sandvåg,69370000.0,10,867125.0,86712.5
DNB,DNB Eiendom,Hilde Brusveen,69357252.0,25,866965.65,34678.626000000004
Hjem.no,EIE Heimdal,Julie Marie Vollan Brennvik,69350000.0,14,866875.0,61919.642857142855
Hjem.no,PrivatMegleren Tønsberg,Kenneth Doksheim,69340000.0,9,866750.0,96305.55555555556
Hjem.no,PrivatMegleren Arendal,Maren Goderstad,69200000.0,19,865000.0,45526.31578947369
Hjem.no,Spareskillingsmegleren Kristiansand,Alex Modahl,69100000.0,10,863750.0,86375.0
DNB,DNB Eiendom,Tomas Hegre,68910661.0,9,861383.2625000001,95709.2513888889
Hjem.no,EIE Ringsaker,André Høgsveen,68890000.0,18,861125.0,47840.27777777778
Hjem.no,PrivatMegleren Brustad & Partnere,Vetle Grønvold Eriksen,68720000.0,8,859000.0,107375.0
DNB,DNB Eiendom,Totto Botolfsen-Lilleaker,68685882.0,7,858573.525,122653.36071428572
Hjem.no,Krogsveen Tønsberg,Tiril Holmøy Olsen,68600000.0,8,857500.0,107187.5
Hjem.no,Nordvik Røa,Marcus Nielsen Rommen,68380000.0,7,854750.0,122107.14285714286
Hjem.no,Nordvik Trondheim,Olaf E. Rønning,68020000.0,13,850250.0,65403.846153846156
Hjem.no,Proaktiv Bergen Sentrum,Kjersti Tunestveit Dyre,68000000.0,2,850000.0,425000.0
Hjem.no,PrivatMegleren Syd,Roar Nylund,67990000.0,7,849875.0,121410.71428571429
DNB,DNB Eiendom,Jim Robin Henriksen,67883520.0,14,848544.0,60610.28571428572
Hjem.no,PrivatMegleren Galleri,Bjørn Tore Vigdel,67880000.0,12,848500.0,70708.33333333333
Hjem.no,Attentus Follo Eiendomsmegling,Eirik Haugstad,67850000.0,17,848125.0,49889.705882352944
DNB,DNB Eiendom,Vegard Askehagen Henriksen,67803873.0,32,847548.4125000001,26485.887890625003
Hjem.no,Nordvik Asker,Hege Jøldal,67750000.0,7,846875.0,120982.14285714286
Hjem.no,PrivatMegleren Komplett,Nils Trongaard,67670000.0,13,845875.0,65067.307692307695
Hjem.no,Nordvik Drammen,Mathilde Sjøhaug,67640000.0,15,845500.0,56366.666666666664
DNB,DNB Eiendom,Nathaniel Andersen,67342247.0,15,841778.0875,56118.53916666667
Hjem.no,PrivatMegleren Halden,Kim Myhre,67300000.0,17,841250.0,49485.294117647056
Hjem.no,Nordvik Skien,Sofie Egge Husby,67290000.0,11,841125.0,76465.90909090909
Hjem.no,Krogsveen Drammen,Simen Ruud,67250000.0,15,840625.0,56041.666666666664
DNB,DNB Eiendom,Hege Johnsen,67130567.0,18,839132.0875,46618.44930555556
Hjem.no,Nordvik Nydalen,Isan Kvamme Alim,67040000.0,9,838000.0,93111.11111111111
Hjem.no,PrivatMegleren Drammen,Svein Liavaag,67010000.0,11,837625.0,76147.72727272728
Hjem.no,PrivatMegleren Bærum,Morten Bjørgum,66980000.0,8,837250.0,104656.25
Hjem.no,Eiendomsmegler Norge Arendal,Marthe Stenersen,66930000.0,15,836625.0,55775.0
Hjem.no,PrivatMegleren Aksept,Joakim Bjøntegård,66820000.0,6,835250.0,139208.33333333334
Hjem.no,PrivatMegleren Renommé,Håkon Bjerke Thronæs,66740000.0,8,834250.0,104281.25
Hjem.no,PrivatMegleren Holmestrand,Nikolai Nordqvist,66705000.0,14,833812.5,59558.03571428572
DNB,DNB Eiendom,Torleif Løvfald Gaard,66626472.0,30,832830.9,27761.030000000002
DNB,DNB Eiendom,Sara Fredriksen Johnsen,66620887.0,17,832761.0875,48985.94632352941
Hjem.no,PrivatMegleren Infinita,Anders Holland-Hverven,66570000.0,8,832125.0,104015.625
Hjem.no,Sem & Johnsen,Simon Skjeldal Andresen,66500000.0,4,831250.0,207812.5
Hjem.no,PrivatMegleren Kvartal,Noman Afzal,66470000.0,12,830875.0,69239.58333333333
DNB,DNB Eiendom,Odd Magnus Langhammer,66406894.0,8,830086.175,103760.771875
Hjem.no,Krogsveen Lillestrøm,Marius Løkken,66180000.0,8,827250.0,103406.25
DNB,DNB Eiendom,Thomas Berget Larsen,66160437.0,10,827005.4625,82700.54625
Hjem.no,EIE Majorstuen,Isabelle Frederiksen,66110000.0,8,826375.0,103296.875
Hjem.no,PrivatMegleren Stjørdal,Stefanos Pitharoulis,66070000.0,14,825875.0,58991.07142857143
Hjem.no,Krogsveen Lillestrøm,Idriss Eliassy,65990000.0,12,824875.0,68739.58333333333
Hjem.no,Nordvik Frogner,Morten Møller-Olsen,65960000.0,8,824500.0,103062.5
Hjem.no,Sem & Johnsen,Hans Christian Freberg,65910000.0,6,823875.0,137312.5
Hjem.no,PrivatMegleren Indre Østfold,Harald Bjørgengen,65910000.0,12,823875.0,68656.25
Hjem.no,Attentus Kolbotn,Bjørn Vidar Braathen,65880000.0,10,823500.0,82350.0
Hjem.no,PrivatMegleren Soria Moria,Geir H. Zetterstrøm,65800000.0,4,822500.0,205625.0
Hjem.no,PrivatMegleren Infinita,Trym Stokland,65750000.0,9,821875.0,91319.44444444444
Hjem.no,PrivatMegleren Panorama,Ole Kristian Braaten,65715000.0,7,821437.5,117348.21428571429
Hjem.no,Krogsveen Trondheim,Frode Helmersen,65680000.0,13,821000.0,63153.846153846156
DNB,DNB Eiendom,Veronica Abes Hansen,65594542.0,9,819931.775,91103.53055555555
Hjem.no,PrivatMegleren Hønefoss,Gunn Margit Andreassen,65590000.0,12,819875.0,68322.91666666667
DNB,DNB Eiendom,Katrine Wilberg,65502015.0,10,818775.1875,81877.51875
Hjem.no,Nordvik Nydalen,Sander O. Berntsen,65480000.0,8,818500.0,102312.5
Hjem.no,Partners Eiendomsmegling,Runa Skumlien,65424000.0,17,817800.0,48105.882352941175
